Course,Department&Year (REMEMBER : INCLUDE 'EP' IN 'PH' AND 'EE' COURSES. INCLUDE 'NA' IN 'OE' COURSES. INCLUDE 'BE','BS' IN 'BT' COURSES,,)
PGHCKK,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGMRBA,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGHFIE,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGDWUN,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGCYVE,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGJSNK,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGKWAA,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGBJID,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGKQIO,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGBIPM,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGOOGV,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGOMLJ,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGLSBR,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGRAQF,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGVVNB,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGXGAO,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGGCLT,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGYQUV,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGFHZR,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGKRDZ,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGJPWM,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGKTQX,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGBNKH,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGEIVW,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGCEOB,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGCFGV,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGUGOU,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGZEYI,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGRZSJ,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGBJRE,BJ15,BJ16,VL15,VL16,BJ17,VL17,
PGWGFF,BJ15,BJ16,VL15,VL16,BJ17,VL17,
TCPHOV,UF15,UF16,UF17,FO15,FO16,FO17,
