Student Roll No,Course Number,Reason for Not allotting Preference
KJ15TAMW,XMKZHN$outside,Course capacity is full.
KJ15TAMW,NMKJIA$outside,Already allotted to inside department version of the course
KJ15TAMW,TCPHOV$outside,Course capacity is full.
KJ15TAMW,TJTDRY$outside,Course capacity is full.
KJ15TAMW,DNUBYC$outside,Slot Clash with already allotted elective course NMKJIA
KJ15TAMW,SFHHOS$outside,Course capacity is full.
KJ15TAMW,DDHMRB$outside,Slot Clash with already allotted elective course XMIUBV
KJ15TAMW,QQIBYU$outside,Course capacity is full.
KJ15TAMW,QQAJZJ$outside,Slot Clash with already allotted elective course QQDNHA
KJ15TAMW,QQELSA$outside,Course capacity is full.
KJ15STAY,SFKJIH$outside,Course capacity is full.
KJ15STAY,SFWTCL$outside,Course capacity is full.
KJ15STAY,NMPQAJ$outside,Already allotted to inside department version of the course
KJ15STAY,DNDIKQ$outside,Course capacity is full.
KJ15STAY,DNMIGT$outside,Course capacity is full.
KJ15EWBK,NMPQAJ$outside,Already allotted to inside department version of the course
KJ15EWBK,LFAKUD$outside,Slot Clash with already allotted elective course TJZMSI
KJ15EWBK,GZSFJX$outside,Slot Clash with already allotted elective course QQELSA
KJ15EWBK,GZLKZQ$outside,Slot Clash with already allotted elective course QQELSA
KJ15EWBK,DNGKDP$outside,Slot Clash with already allotted elective course DNWTSM
KJ15EWBK,DNJEXJ$outside,Slot Clash with already allotted elective course DNWTSM
KJ15EWBK,DNNSOC$outside,Slot Clash with already allotted elective course DNWTSM
KJ15EWBK,DNNRZI$outside,Slot Clash with already allotted elective course DNWTSM
KJ15EWBK,DNXTXO$outside,Slot Clash with already allotted elective course DNWTSM
KJ15EWBK,DNUBYC$outside,Slot Clash with already allotted elective course DNVUSE
KJ15EWBK,DNRPKM$outside,Slot Clash with already allotted elective course DNVUSE
KJ15MQPT,NMKJIA$outside,Already allotted to inside department version of the course
KJ15MQPT,XMAUVI$outside,Course capacity is full.
KJ15MQPT,TCPHOV$outside,Course capacity is full.
