Course ID,Number of Rejections,Course Capacity,Number of Rejections / Capacity
GZFWOW$inside,0,0,0.0
GZFWOW$outside,0,0,0.0
GZLTBR$inside,0,0,0.0
GZLTBR$outside,0,0,0.0
GZQJRC$inside,0,0,0.0
GZQJRC$outside,0,0,0.0
GZBEDR$inside,0,0,0.0
GZBEDR$outside,0,0,0.0
GZEBQY$inside,0,0,0.0
GZEBQY$outside,0,20,0.0
GZSFJX$inside,0,0,0.0
GZSFJX$outside,0,20,0.0
GZUNOC$inside,0,0,0.0
GZUNOC$outside,0,20,0.0
GZKBQC$inside,0,0,0.0
GZKBQC$outside,0,20,0.0
GZXPIF$inside,0,0,0.0
GZXPIF$outside,0,20,0.0
GZZSOA$inside,0,0,0.0
GZZSOA$outside,0,20,0.0
GZPBPV$inside,0,0,0.0
GZPBPV$outside,0,20,0.0
GZMFCA$inside,0,0,0.0
GZMFCA$outside,0,20,0.0
GZLKZQ$inside,0,0,0.0
GZLKZQ$outside,0,20,0.0
GZWFWK$inside,0,0,0.0
GZWFWK$outside,0,20,0.0
GZSXZC$inside,0,0,0.0
GZSXZC$outside,0,20,0.0
GZZCOH$inside,0,0,0.0
GZZCOH$outside,0,20,0.0
GZUYOL$inside,0,0,0.0
GZUYOL$outside,0,15,0.0
GZVZNT$inside,0,0,0.0
GZVZNT$outside,0,20,0.0
GZAEHU$inside,0,0,0.0
GZAEHU$outside,0,25,0.0
GZDPDH$inside,0,0,0.0
GZDPDH$outside,0,25,0.0
GZBZIF$inside,0,0,0.0
GZBZIF$outside,0,20,0.0
GZNRAM$inside,0,0,0.0
GZNRAM$outside,0,20,0.0
GZVTZP$inside,0,0,0.0
GZVTZP$outside,0,25,0.0
GZLHOP$inside,0,0,0.0
GZLHOP$outside,0,25,0.0
GZHQDV$inside,0,0,0.0
GZHQDV$outside,0,20,0.0
NMIRWN$inside,0,0,0.0
NMIRWN$outside,0,4,0.0
NMIFPX$inside,0,0,0.0
NMIFPX$outside,0,4,0.0
NMMYGU$inside,0,0,0.0
NMMYGU$outside,0,4,0.0
NMVLTR$inside,0,0,0.0
NMVLTR$outside,0,4,0.0
NMQHIH$inside,0,0,0.0
NMQHIH$outside,0,4,0.0
NMYLLH$inside,0,0,0.0
NMYLLH$outside,0,4,0.0
NMRJCZ$inside,0,0,0.0
NMRJCZ$outside,0,0,0.0
NMUGJK$inside,0,0,0.0
NMUGJK$outside,0,0,0.0
NMSRND$inside,0,0,0.0
NMSRND$outside,0,0,0.0
NMSVWI$inside,0,0,0.0
NMSVWI$outside,0,4,0.0
NMJFNU$inside,0,0,0.0
NMJFNU$outside,0,4,0.0
NMSATV$inside,0,0,0.0
NMSATV$outside,0,8,0.0
NMPQAJ$inside,0,60,0.0
NMPQAJ$outside,0,0,0.0
NMBUCE$inside,0,60,0.0
NMBUCE$outside,0,0,0.0
NMZRWR$inside,0,72,0.0
NMZRWR$outside,0,8,0.0
NMWUNK$inside,0,80,0.0
NMWUNK$outside,0,0,0.0
NMLQKI$inside,0,72,0.0
NMLQKI$outside,0,8,0.0
NMIDYM$inside,0,72,0.0
NMIDYM$outside,0,8,0.0
NMCFUH$inside,0,72,0.0
NMCFUH$outside,0,8,0.0
NMGQWM$inside,0,72,0.0
NMGQWM$outside,0,8,0.0
NMUQEU$inside,0,72,0.0
NMUQEU$outside,0,8,0.0
NMSEGH$inside,0,72,0.0
NMSEGH$outside,0,8,0.0
NMKJIA$inside,0,72,0.0
NMKJIA$outside,8,8,1.0
NMCTCD$inside,0,72,0.0
