RollNo,CourseNo,ColorGroup,Type,SortOrder
KJ15TAMW,NMKJIA,0,ELEC,3
KJ15TAMW,XMJNTV,0,ELEC,4
KJ15TAMW,XMKZHN,0,ELEC,2
KJ15TAMW,XMIUBV,0,ELEC,1
KJ15TAMW,SFHHOS,0,ELEC,8
KJ15TAMW,QQELSA,0,ELEC,14
KJ15TAMW,QQAJZJ,0,ELEC,13
KJ15TAMW,QQIBYU,0,ELEC,11
KJ15TAMW,QQDNHA,0,ELEC,12
KJ15TAMW,DNUBYC,0,ELEC,7
KJ15TAMW,TCPHOV,0,ELEC,5
KJ15TAMW,DDHMRB,0,ELEC,10
KJ15TAMW,DDXIXA,0,ELEC,9
KJ15TAMW,TJTDRY,0,ELEC,6
KJ15STAY,NMPQAJ,0,ELEC,4
KJ15STAY,SFWTCL,0,ELEC,2
KJ15STAY,SFKJIH,0,ELEC,1
KJ15STAY,DNMIGT,0,ELEC,6
KJ15STAY,DNDIKQ,0,ELEC,5
KJ15STAY,DNYMGM,NULL,CORE,NULL
KJ15STAY,DDVQGR,0,ELEC,3
KJ15EWBK,GZSFJX,2,ELEC,5
KJ15EWBK,GZMFCA,0,ELEC,7
KJ15EWBK,GZLKZQ,2,ELEC,6
KJ15EWBK,NMPQAJ,0,ELEC,1
KJ15EWBK,LFAKUD,1,ELEC,4
KJ15EWBK,QQELSA,0,ELEC,2
KJ15EWBK,DNNSOC,3,ELEC,11
KJ15EWBK,DNJEXJ,3,ELEC,10
KJ15EWBK,DNWTSM,3,ELEC,8
KJ15EWBK,DNGKDP,3,ELEC,9
KJ15EWBK,DNNRZI,3,ELEC,12
KJ15EWBK,DNRPKM,4,ELEC,16
KJ15EWBK,DNUBYC,4,ELEC,15
KJ15EWBK,DNVUSE,4,ELEC,14
KJ15EWBK,DNXTXO,3,ELEC,13
KJ15EWBK,TJZMSI,1,ELEC,3
KJ15MQPT,NMKJIA,0,ELEC,1
KJ15MQPT,XMAUVI,0,ELEC,3
KJ15MQPT,QQIBYU,0,ELEC,6
KJ15MQPT,DNSVRR,0,ELEC,2
KJ15MQPT,TCPHOV,0,ELEC,5
KJ15MQPT,DDHMRB,0,ELEC,7
KJ15AXCE,NMPQAJ,0,ELEC,11
KJ15AXCE,NMGQWM,0,ELEC,2
KJ15AXCE,NMKJIA,0,ELEC,9
KJ15AXCE,DSWJGL,0,ELEC,4
KJ15AXCE,DSAAFM,0,ELEC,3
KJ15AXCE,QQELSA,0,ELEC,12
KJ15AXCE,QQAJZJ,0,ELEC,14
KJ15AXCE,QQDNHA,0,ELEC,13
KJ15AXCE,DNDIKQ,0,ELEC,10
KJ15AXCE,DNNSOC,0,ELEC,8
KJ15AXCE,DNNRZI,0,ELEC,7
KJ15AXCE,DNTXOD,0,ELEC,6
KJ15AXCE,DNXTXO,0,ELEC,5
KJ15AXCE,TJPIKQ,0,ELEC,1
KJ15KTLM,NMIFPX,NULL,BACKLOG,NULL
KJ15KTLM,NMMYGU,NULL,BACKLOG,NULL
KJ15KTLM,NMPQAJ,0,ELEC,1
KJ15KTLM,QQELSA,0,ELEC,3
KJ15KTLM,DNMIGT,2,ELEC,2
KJ15KTLM,DNRPKM,2,ELEC,4
KJ15KTLM,DDYQNY,NULL,BACKLOG,NULL
KJ15KTLM,DDWJGG,NULL,BACKLOG,NULL
KJ15JGKH,NMPQAJ,0,ELEC,1
KJ15JGKH,NMLQKI,5,ELEC,10
KJ15JGKH,NMUQEU,0,ELEC,2
KJ15JGKH,QQELSA,1,ELEC,7
KJ15JGKH,QQAJZJ,1,ELEC,9
KJ15JGKH,QQIBYU,1,ELEC,8
KJ15JGKH,DNMIGT,2,ELEC,6
KJ15JGKH,DNWTSM,4,ELEC,4
KJ15JGKH,DNNRZI,4,ELEC,3
KJ15JGKH,TJGDMF,3,ELEC,5
KJ15HVRB,NMPQAJ,0,ELEC,7
KJ15HVRB,NMWUNK,0,ELEC,2
KJ15HVRB,DSWJGL,0,ELEC,3
KJ15HVRB,QQDNHA,0,ELEC,1
KJ15HVRB,DNNRZI,1,ELEC,4
KJ15HVRB,DNTXOD,1,ELEC,5
KJ15HVRB,DNJNPL,1,ELEC,6
KJ15KTPD,NMBUCE,NULL,CORE,NULL
KJ15KTPD,NMIDYM,0,ELEC,1
KJ15KTPD,NMCFUH,0,ELEC,2
KJ15KTPD,NMUQEU,0,ELEC,4
KJ15KTPD,NMKJIA,0,ELEC,3
KJ15KTPD,DNWTSM,1,ELEC,6
KJ15KTPD,DNNRZI,1,ELEC,7
KJ15KTPD,DNOENI,1,ELEC,5
KJ15LMVB,NMLQKI,5,ELEC,14
KJ15LMVB,NMKJIA,1,ELEC,6
KJ15LMVB,NMHBWI,0,ELEC,1
KJ15LMVB,NMXRJS,3,ELEC,8
KJ15LMVB,QQAJZJ,4,ELEC,10
KJ15LMVB,QQIBYU,4,ELEC,9
KJ15LMVB,QQDNHA,4,ELEC,11
KJ15LMVB,DNJEXJ,2,ELEC,2
KJ15LMVB,DNSVRR,2,ELEC,3
KJ15LMVB,DNIMNG,2,ELEC,4
KJ15LMVB,DNOENI,10,ELEC,50
KJ15LMVB,DNKCVN,5,ELEC,12
KJ15LMVB,DDUPML,3,ELEC,7
KJ15LMVB,DDCVOF,5,ELEC,15
KJ15LMVB,FOXZDS,1,ELEC,5
KJ15TGRN,NMLQKI,0,ELEC,2
KJ15TGRN,NMKJIA,0,ELEC,1
KJ15TGRN,QQAJZJ,0,ELEC,7
KJ15TGRN,DNNRZI,0,ELEC,5
KJ15TGRN,TJPIKQ,0,ELEC,3
KJ15TGRN,TJGDMF,0,ELEC,4
KJ15TGRN,TJNLID,0,ELEC,6
KJ15AICJ,NMIRWN,NULL,BACKLOG,NULL
KJ15AICJ,NMSEGH,0,ELEC,4
KJ15AICJ,NMKJIA,0,ELEC,1
KJ15AICJ,QQIBYU,0,ELEC,3
KJ15AICJ,DNSVRR,1,ELEC,2
KJ15AICJ,DNGKDP,1,ELEC,7
KJ15AICJ,TJGDMF,0,ELEC,5
KJ15AICJ,TJNLID,0,ELEC,6
KJ15NYAL,NMLQKI,0,ELEC,1
KJ15NYAL,NMXRJS,0,ELEC,4
KJ15NYAL,UFNVKH,0,ELEC,2
KJ15NYAL,TCGSZI,NULL,CORE,NULL
KJ15NYAL,FOSMGN,NULL,CORE,NULL
KJ15NYAL,FOIXVA,0,ELEC,3
KJ15HVIG,NMKJIA,0,ELEC,4
KJ15HVIG,XMHZDH,2,ELEC,2
